Version	Department
TIPA0001	CS-TRD
TIPA0002	ACC-TRD
TIPA0003	PR-TRD
TIPA0004	DES-TRD
TIPA0005	FM-TRD
TIPA0006	HR-TRD
TIPA0007	INV-TRD
TIPA0008	IS-TRD
TIPA0009	LOG-TRD
TIPA0010	ME-TRD
TIPA0011	MFG-TRD
TIPA0012	PC-TRD
TIPA0013	PL-TRD
TIPA0014	PM-TRD
TIPA0015	QA-TRD
TIPA0016	QC-TRD
TIPA0017	SAL-TRD
TIPA0021	PR-LVM
TIPA0023	PR-HEV
TIPA0025	CS-LVM
TIPA0026	ACC-LVM
TIPA0027	DES-LVM
TIPA0028	FM-LVM
TIPA0029	HR-LVM
TIPA0030	INV-LVM
TIPA0031	IS-LVM
TIPA0032	LOG-LVM
TIPA0033	ME-LVM
TIPA0034	MFG-LVM
TIPA0035	PC-LVM
TIPA0036	PL-LVM
TIPA0037	PM-LVM
TIPA0038	QA-LVM
TIPA0039	QC-LVM
TIPA0040	SAL-LVM
TIPA0041	CS-HEV
TIPA0042	ACC-HEV
TIPA0043	DES-HEV
TIPA0044	FM-HEV
TIPA0045	HR-HEV
TIPA0046	INV-HEV
TIPA0047	IS-HEV
TIPA0048	LOG-HEV
TIPA0049	ME-HEV
TIPA0050	MFG-HEV
TIPA0051	PC-HEV
TIPA0052	PL-HEV
TIPA0053	PM-HEV
TIPA0054	QA-HEV
TIPA0055	QC-HEV
TIPA0056	SAL-HEV
